,company_list,location,title,salary,education,programming_languages,soft_skills,keywords,benefits,state
61,GEICO,"Chevy Chase, MD",Data Scientist,,,,Flexible,,,MD
62,Seen by Indeed,"Chicago, IL",Data Scientist,,,,,,,IL
63,TRIARQ Health,"Troy, MI",Lead Data Scientist,,,,,,,MI
64,Spectrum Communications & Consulting Inc.,"Chicago, IL",Data Engineer,,,,Flexible,,Retirement,IL
65,"Prenosis, Inc.","Chicago, IL (Bronzeville area)","Software Engineer, Applied Machine Learning","$90,000 - $110,000 a year",,P,,Machine Learning,Dental,IL
66,iQuartic,"Boston, MA 02199 (Back Bay area)",OCR Data Scientist,,,,Flexible,,Retirement,MA
67,Humana,"Boston, MA 02210 (South Boston area)",Lead Data Scientist,,,,Flexible,Deep Learning,Healthcare,MA
68,ENGIE Insight,"Boston, MA",Data Scientist,,,,,,,MA
69,GEICO,"Chevy Chase, MD",Data Scientist,,,,Flexible,,,MD
70,Seen by Indeed,"Chicago, IL",Data Scientist,,,,,,,IL
71,TRIARQ Health,"Troy, MI",Lead Data Scientist,,,,,,,MI
72,"Prenosis, Inc.","Chicago, IL (Bronzeville area)","Software Engineer, Applied Machine Learning","$90,000 - $110,000 a year",,P,,Machine Learning,Dental,IL
73,Humana,"Boston, MA 02298",Senior Data Scientist,,,,,,,MA
74,Seen by Indeed,"Chicago, IL",Data Scientist,,,,,,,IL
75,iQuartic,"Boston, MA 02199 (Back Bay area)",OCR Data Scientist,,,,Flexible,,Retirement,MA
76,Humana,"Boston, MA 02210 (South Boston area)",Lead Data Scientist,,,,Flexible,Deep Learning,Healthcare,MA
77,TRIARQ Health,"Troy, MI",Lead Data Scientist,,,,,,,MI
78,GEICO,"Chevy Chase, MD",Data Scientist,,,,Flexible,,,MD
79,GEICO,"Chevy Chase, MD",Senior Data Scientist,,,,Flexible,,,MD
